Fireplace Type,Electric,FireplaceType,fireplace_type,fireplace1,"{table: :fireplace_type, code: ' fireplace1', label: 'Electric '},",,,,,,,,,,
,Gas,FireplaceType,fireplace_type,fireplace2,"{table: :fireplace_type, code: ' fireplace2', label: 'Gas '},",,,,,,,,,,
,Wood,FireplaceType,fireplace_type,fireplace3,"{table: :fireplace_type, code: ' fireplace3', label: 'Wood '},",,,,,,,,,,
,None,FireplaceType,fireplace_type,fireplace4,"{table: :fireplace_type, code: ' fireplace4', label: 'None '},",,,,,,,,,,
,,,,,,,,,,,,,,,
Heating Stove Type,Coal,HeatingType,heating_type,heating1,"{table: :heating_type, code: ' heating1', label: 'Coal '},",,,,,,,,,,
,Corn,HeatingType,heating_type,heating2,"{table: :heating_type, code: ' heating2', label: 'Corn'},",,,,,,,,,,
,Electric,HeatingType,heating_type,heating3,"{table: :heating_type, code: ' heating3', label: 'Electric '},",,,,,,,,,,
,Gas,HeatingType,heating_type,heating4,"{table: :heating_type, code: ' heating4', label: 'Gas'},",,,,,,,,,,
,Pellet,HeatingType,heating_type,heating5,"{table: :heating_type, code: ' heating5', label: 'Pellet'},",,,,,,,,,,
,Wood,HeatingType,heating_type,heating6,"{table: :heating_type, code: ' heating6', label: 'Wood'},",,,,,,,,,,
,None,HeatingType,heating_type,heating7,"{table: :heating_type, code: ' heating7', label: 'None'},",,,,,,,,,,
,,,,,,,,,,,,,,,
Exterior Features,Acreage Fenced,ExteriorFeature,exterior_feature,exteriorfeature1,"{table: :exterior_feature, code: ' exteriorfeature1', label: 'Acreage Fenced '},",,,,,,,,,,
,Adj to BLM,ExteriorFeature,exterior_feature,exteriorfeature2,"{table: :exterior_feature, code: ' exteriorfeature2', label: 'Adj to BLM '},",,,,,,,,,,
,Adj to Bureau of Reclamation,ExteriorFeature,exterior_feature,exteriorfeature3,"{table: :exterior_feature, code: ' exteriorfeature3', label: 'Adj to Bureau of Reclamation '},",,,,,,,,,,
,Adj to National Forest,ExteriorFeature,exterior_feature,exteriorfeature4,"{table: :exterior_feature, code: ' exteriorfeature4', label: 'Adj to National Forest '},",,,,,,,,,,
,Adj to State Land,ExteriorFeature,exterior_feature,exteriorfeature5,"{table: :exterior_feature, code: ' exteriorfeature5', label: 'Adj to State Land '},",,,,,,,,,,
,Barn,ExteriorFeature,exterior_feature,exteriorfeature6,"{table: :exterior_feature, code: ' exteriorfeature6', label: 'Barn '},",,,,,,,,,,
,Cable,ExteriorFeature,exterior_feature,exteriorfeature7,"{table: :exterior_feature, code: ' exteriorfeature7', label: 'Cable '},",,,,,,,,,,
,Chain Link Fence,ExteriorFeature,exterior_feature,exteriorfeature8,"{table: :exterior_feature, code: ' exteriorfeature8', label: 'Chain Link Fence '},",,,,,,,,,,
,Concrete Ditches,ExteriorFeature,exterior_feature,exteriorfeature9,"{table: :exterior_feature, code: ' exteriorfeature9', label: 'Concrete Ditches '},",,,,,,,,,,
,Corner Lot,ExteriorFeature,exterior_feature,exteriorfeature10,"{table: :exterior_feature, code: ' exteriorfeature10', label: 'Corner Lot '},",,,,,,,,,,
,Corrals,ExteriorFeature,exterior_feature,exteriorfeature11,"{table: :exterior_feature, code: ' exteriorfeature11', label: 'Corrals '},",,,,,,,,,,
,Covered Deck,ExteriorFeature,exterior_feature,exteriorfeature12,"{table: :exterior_feature, code: ' exteriorfeature12', label: 'Covered Deck '},",,,,,,,,,,
,Covered Patio,ExteriorFeature,exterior_feature,exteriorfeature13,"{table: :exterior_feature, code: ' exteriorfeature13', label: 'Covered Patio '},",,,,,,,,,,
,Creek,ExteriorFeature,exterior_feature,exteriorfeature14,"{table: :exterior_feature, code: ' exteriorfeature14', label: 'Creek '},",,,,,,,,,,
,Cul-de-Sac,ExteriorFeature,exterior_feature,exteriorfeature15,"{table: :exterior_feature, code: ' exteriorfeature15', label: 'Cul-de-Sac '},",,,,,,,,,,
,Deck,ExteriorFeature,exterior_feature,exteriorfeature16,"{table: :exterior_feature, code: ' exteriorfeature16', label: 'Deck '},",,,,,,,,,,
,Dirt Ditches,ExteriorFeature,exterior_feature,exteriorfeature17,"{table: :exterior_feature, code: ' exteriorfeature17', label: 'Dirt Ditches '},",,,,,,,,,,
,Fenced Yard,ExteriorFeature,exterior_feature,exteriorfeature18,"{table: :exterior_feature, code: ' exteriorfeature18', label: 'Fenced Yard '},",,,,,,,,,,
,Fishing,ExteriorFeature,exterior_feature,exteriorfeature19,"{table: :exterior_feature, code: ' exteriorfeature19', label: 'Fishing '},",,,,,,,,,,
,Flat Terrain,ExteriorFeature,exterior_feature,exteriorfeature20,"{table: :exterior_feature, code: ' exteriorfeature20', label: 'Flat Terrain '},",,,,,,,,,,
,Garden,ExteriorFeature,exterior_feature,exteriorfeature21,"{table: :exterior_feature, code: ' exteriorfeature21', label: 'Garden '},",,,,,,,,,,
,Golf Course Lot,ExteriorFeature,exterior_feature,exteriorfeature22,"{table: :exterior_feature, code: ' exteriorfeature22', label: 'Golf Course Lot '},",,,,,,,,,,
,Greenhouse,ExteriorFeature,exterior_feature,exteriorfeature23,"{table: :exterior_feature, code: ' exteriorfeature23', label: 'Greenhouse '},",,,,,,,,,,
,Guest House,ExteriorFeature,exterior_feature,exteriorfeature24,"{table: :exterior_feature, code: ' exteriorfeature24', label: 'Guest House '},",,,,,,,,,,
,Hand Line,ExteriorFeature,exterior_feature,exteriorfeature25,"{table: :exterior_feature, code: ' exteriorfeature25', label: 'Hand Line '},",,,,,,,,,,
,Horse Property,ExteriorFeature,exterior_feature,exteriorfeature26,"{table: :exterior_feature, code: ' exteriorfeature26', label: 'Horse Property '},",,,,,,,,,,
,Hot Tub,ExteriorFeature,exterior_feature,exteriorfeature27,"{table: :exterior_feature, code: ' exteriorfeature27', label: 'Hot Tub '},",,,,,,,,,,
,Hunting,ExteriorFeature,exterior_feature,exteriorfeature28,"{table: :exterior_feature, code: ' exteriorfeature28', label: 'Hunting '},",,,,,,,,,,
,Irrigated,ExteriorFeature,exterior_feature,exteriorfeature29,"{table: :exterior_feature, code: ' exteriorfeature29', label: 'Irrigated '},",,,,,,,,,,
,Kennel (Dog),ExteriorFeature,exterior_feature,exteriorfeature30,"{table: :exterior_feature, code: ' exteriorfeature30', label: 'Kennel (Dog) '},",,,,,,,,,,
,Lake View,ExteriorFeature,exterior_feature,exteriorfeature31,"{table: :exterior_feature, code: ' exteriorfeature31', label: 'Lake View '},",,,,,,,,,,
,Landscaping,ExteriorFeature,exterior_feature,exteriorfeature32,"{table: :exterior_feature, code: ' exteriorfeature32', label: 'Landscaping '},",,,,,,,,,,
,Loafing Shed,ExteriorFeature,exterior_feature,exteriorfeature33,"{table: :exterior_feature, code: ' exteriorfeature33', label: 'Loafing Shed '},",,,,,,,,,,
,Mountain View,ExteriorFeature,exterior_feature,exteriorfeature34,"{table: :exterior_feature, code: ' exteriorfeature34', label: 'Mountain View '},",,,,,,,,,,
,Natural Gas to Property,ExteriorFeature,exterior_feature,exteriorfeature35,"{table: :exterior_feature, code: ' exteriorfeature35', label: 'Natural Gas to Property '},",,,,,,,,,,
,Patio,ExteriorFeature,exterior_feature,exteriorfeature36,"{table: :exterior_feature, code: ' exteriorfeature36', label: 'Patio '},",,,,,,,,,,
,Pivot Irrigated,ExteriorFeature,exterior_feature,exteriorfeature37,"{table: :exterior_feature, code: ' exteriorfeature37', label: 'Pivot Irrigated '},",,,,,,,,,,
,Pond,ExteriorFeature,exterior_feature,exteriorfeature38,"{table: :exterior_feature, code: ' exteriorfeature38', label: 'Pond '},",,,,,,,,,,
,Pool,ExteriorFeature,exterior_feature,exteriorfeature39,"{table: :exterior_feature, code: ' exteriorfeature39', label: 'Pool '},",,,,,,,,,,
,Porch,ExteriorFeature,exterior_feature,exteriorfeature40,"{table: :exterior_feature, code: ' exteriorfeature40', label: 'Porch '},",,,,,,,,,,
,Production Ground,ExteriorFeature,exterior_feature,exteriorfeature41,"{table: :exterior_feature, code: ' exteriorfeature41', label: 'Production Ground '},",,,,,,,,,,
,Recreational,ExteriorFeature,exterior_feature,exteriorfeature42,"{table: :exterior_feature, code: ' exteriorfeature42', label: 'Recreational '},",,,,,,,,,,
,River Frontage,ExteriorFeature,exterior_feature,exteriorfeature43,"{table: :exterior_feature, code: ' exteriorfeature43', label: 'River Frontage '},",,,,,,,,,,
,Rolling Terrain,ExteriorFeature,exterior_feature,exteriorfeature44,"{table: :exterior_feature, code: ' exteriorfeature44', label: 'Rolling Terrain '},",,,,,,,,,,
,RV Parking,ExteriorFeature,exterior_feature,exteriorfeature45,"{table: :exterior_feature, code: ' exteriorfeature45', label: 'RV Parking '},",,,,,,,,,,
,Shop,ExteriorFeature,exterior_feature,exteriorfeature46,"{table: :exterior_feature, code: ' exteriorfeature46', label: 'Shop '},",,,,,,,,,,
,Spring,ExteriorFeature,exterior_feature,exteriorfeature47,"{table: :exterior_feature, code: ' exteriorfeature47', label: 'Spring '},",,,,,,,,,,
,"Sprinklers, Auto",ExteriorFeature,exterior_feature,exteriorfeature48,"{table: :exterior_feature, code: ' exteriorfeature48', label: 'Sprinklers, Auto '},",,,,,,,,,,
,"Sprinklers, Manual",ExteriorFeature,exterior_feature,exteriorfeature49,"{table: :exterior_feature, code: ' exteriorfeature49', label: 'Sprinklers, Manual '},",,,,,,,,,,
,Storage Building,ExteriorFeature,exterior_feature,exteriorfeature50,"{table: :exterior_feature, code: ' exteriorfeature50', label: 'Storage Building '},",,,,,,,,,,
,Wooded Acreage,ExteriorFeature,exterior_feature,exteriorfeature51,"{table: :exterior_feature, code: ' exteriorfeature51', label: 'Wooded Acreage '},",,,,,,,,,,
,None,ExteriorFeature,exterior_feature,exteriorfeature52,"{table: :exterior_feature, code: ' exteriorfeature52', label: 'None '},",,,,,,,,,,
,Deck/Patio,ExteriorFeature,exterior_feature,exteriorfeature58,"{table: :exterior_feature, code: ' exteriorfeature58', label: 'Deck/Patio '},",,,,,,,,,,
,,,,,,,,,,,,,,,
Interior Features,Attic Fan,InteriorFeature,interior_feature,interior1,"{table: :interior_feature, code: ' interior1', label: 'Attic Fan'},",,,,,,,,,,
,Breakfast Bar,InteriorFeature,interior_feature,interior2,"{table: :interior_feature, code: ' interior2', label: 'Breakfast Bar'},",,,,,,,,,,
,Breakfast Nook,InteriorFeature,interior_feature,interior3,"{table: :interior_feature, code: ' interior3', label: 'Breakfast Nook'},",,,,,,,,,,
,Ceiling Fan(s),InteriorFeature,interior_feature,interior4,"{table: :interior_feature, code: ' interior4', label: 'Ceiling Fan(s)'},",,,,,,,,,,
,Central Vacuum System,InteriorFeature,interior_feature,interior5,"{table: :interior_feature, code: ' interior5', label: 'Central Vacuum System'},",,,,,,,,,,
,Disposal,InteriorFeature,interior_feature,interior6,"{table: :interior_feature, code: ' interior6', label: 'Disposal'},",,,,,,,,,,
,Garage Door Opener,InteriorFeature,interior_feature,interior7,"{table: :interior_feature, code: ' interior7', label: 'Garage Door Opener'},",,,,,,,,,,
,Handicap Access,InteriorFeature,interior_feature,interior8,"{table: :interior_feature, code: ' interior8', label: 'Handicap Access'},",,,,,,,,,,
,Home Theater,InteriorFeature,interior_feature,interior9,"{table: :interior_feature, code: ' interior9', label: 'Home Theater'},",,,,,,,,,,
,Home Warranty,InteriorFeature,interior_feature,interior10,"{table: :interior_feature, code: ' interior10', label: 'Home Warranty'},",,,,,,,,,,
,Hot Tub,InteriorFeature,interior_feature,interior11,"{table: :interior_feature, code: ' interior11', label: 'Hot Tub'},",,,,,,,,,,
,Jetted Tub,InteriorFeature,interior_feature,interior12,"{table: :interior_feature, code: ' interior12', label: 'Jetted Tub'},",,,,,,,,,,
,Loft,InteriorFeature,interior_feature,interior13,"{table: :interior_feature, code: ' interior13', label: 'Loft'},",,,,,,,,,,
,Mud Room,InteriorFeature,interior_feature,interior14,"{table: :interior_feature, code: ' interior14', label: 'Mud Room'},",,,,,,,,,,
,Pantry,InteriorFeature,interior_feature,interior15,"{table: :interior_feature, code: ' interior15', label: 'Pantry'},",,,,,,,,,,
,Porch,InteriorFeature,interior_feature,interior16,"{table: :interior_feature, code: ' interior16', label: 'Porch'},",,,,,,,,,,
,RO System,InteriorFeature,interior_feature,interior17,"{table: :interior_feature, code: ' interior17', label: 'RO System'},",,,,,,,,,,
,Satellite Dish,InteriorFeature,interior_feature,interior18,"{table: :interior_feature, code: ' interior18', label: 'Satellite Dish'},",,,,,,,,,,
,Sauna,InteriorFeature,interior_feature,interior19,"{table: :interior_feature, code: ' interior19', label: 'Sauna'},",,,,,,,,,,
,Security System,InteriorFeature,interior_feature,interior20,"{table: :interior_feature, code: ' interior20', label: 'Security System'},",,,,,,,,,,
,Skylights,InteriorFeature,interior_feature,interior21,"{table: :interior_feature, code: ' interior21', label: 'Skylights'},",,,,,,,,,,
,Sump Pump,InteriorFeature,interior_feature,interior22,"{table: :interior_feature, code: ' interior22', label: 'Sump Pump'},",,,,,,,,,,
,Tile Floor,InteriorFeature,interior_feature,interior23,"{table: :interior_feature, code: ' interior23', label: 'Tile Floor'},",,,,,,,,,,
,Trash Compactor,InteriorFeature,interior_feature,interior24,"{table: :interior_feature, code: ' interior24', label: 'Trash Compactor'},",,,,,,,,,,
,Vaulted Ceiling(s),InteriorFeature,interior_feature,interior25,"{table: :interior_feature, code: ' interior25', label: 'Vaulted Ceiling(s)'},",,,,,,,,,,
,Walk-in Closet(s),InteriorFeature,interior_feature,interior26,"{table: :interior_feature, code: ' interior26', label: 'Walk-in Closet(s)'},",,,,,,,,,,
,Water Softener (owned),InteriorFeature,interior_feature,interior27,"{table: :interior_feature, code: ' interior27', label: 'Water Softener (owned)'},",,,,,,,,,,
,Water Softener (leased),InteriorFeature,interior_feature,interior28,"{table: :interior_feature, code: ' interior28', label: 'Water Softener (leased)'},",,,,,,,,,,
,Wet Bar,InteriorFeature,interior_feature,interior29,"{table: :interior_feature, code: ' interior29', label: 'Wet Bar'},",,,,,,,,,,
,Wood Floor,InteriorFeature,interior_feature,interior30,"{table: :interior_feature, code: ' interior30', label: 'Wood Floor'},",,,,,,,,,,
,,,,,,,,,,,,,,,
Roof,Built-Up,RoofType,roof_type,roof1,"{table: :roof_type, code: ' roof1', label: 'Built-Up '},",,,,,,,,,,
,Composition,RoofType,roof_type,roof2,"{table: :roof_type, code: ' roof2', label: 'Composition '},",,,,,,,,,,
,Foam,RoofType,roof_type,roof5,"{table: :roof_type, code: ' roof5', label: 'Foam '},",,,,,,,,,,
,Masonite,RoofType,roof_type,roof13,"{table: :roof_type, code: ' roof13', label: 'Masonite '},",,,,,,,,,,
,Membrane,RoofType,roof_type,roof3,"{table: :roof_type, code: ' roof3', label: 'Membrane '},",,,,,,,,,,
,Metal,RoofType,roof_type,roof4,"{table: :roof_type, code: ' roof4', label: 'Metal '},",,,,,,,,,,
