,Exterior Features - Garden,ExteriorFeature,exterior_feature,exteriorfeature21,"{table: :exterior_feature, code: ' exteriorfeature21', label: 'Garden '},"
,Exterior Features - Golf Course Lot,ExteriorFeature,exterior_feature,exteriorfeature22,"{table: :exterior_feature, code: ' exteriorfeature22', label: 'Golf Course Lot '},"
,Exterior Features - Greenhouse,ExteriorFeature,exterior_feature,exteriorfeature23,"{table: :exterior_feature, code: ' exteriorfeature23', label: 'Greenhouse '},"
,Exterior Features - Guest House,ExteriorFeature,exterior_feature,exteriorfeature24,"{table: :exterior_feature, code: ' exteriorfeature24', label: 'Guest House '},"
,Exterior Features - Hand Line,ExteriorFeature,exterior_feature,exteriorfeature25,"{table: :exterior_feature, code: ' exteriorfeature25', label: 'Hand Line '},"
,Exterior Features - Horse Property,ExteriorFeature,exterior_feature,exteriorfeature26,"{table: :exterior_feature, code: ' exteriorfeature26', label: 'Horse Property '},"
,Exterior Features - Hot Tub,ExteriorFeature,exterior_feature,exteriorfeature27,"{table: :exterior_feature, code: ' exteriorfeature27', label: 'Hot Tub '},"
,Exterior Features - Hunting,ExteriorFeature,exterior_feature,exteriorfeature28,"{table: :exterior_feature, code: ' exteriorfeature28', label: 'Hunting '},"
,Exterior Features - Irrigated,ExteriorFeature,exterior_feature,exteriorfeature29,"{table: :exterior_feature, code: ' exteriorfeature29', label: 'Irrigated '},"
,Exterior Features - Kennel (Dog),ExteriorFeature,exterior_feature,exteriorfeature30,"{table: :exterior_feature, code: ' exteriorfeature30', label: 'Kennel (Dog) '},"
,Exterior Features - Lake View,ExteriorFeature,exterior_feature,exteriorfeature31,"{table: :exterior_feature, code: ' exteriorfeature31', label: 'Lake View '},"
,Exterior Features - Landscaping,ExteriorFeature,exterior_feature,exteriorfeature32,"{table: :exterior_feature, code: ' exteriorfeature32', label: 'Landscaping '},"
,Exterior Features - Loafing Shed,ExteriorFeature,exterior_feature,exteriorfeature33,"{table: :exterior_feature, code: ' exteriorfeature33', label: 'Loafing Shed '},"
,Exterior Features - Mountain View,ExteriorFeature,exterior_feature,exteriorfeature34,"{table: :exterior_feature, code: ' exteriorfeature34', label: 'Mountain View '},"
,Exterior Features - Natural Gas to Property,ExteriorFeature,exterior_feature,exteriorfeature35,"{table: :exterior_feature, code: ' exteriorfeature35', label: 'Natural Gas to Property '},"
,Exterior Features - Patio,ExteriorFeature,exterior_feature,exteriorfeature36,"{table: :exterior_feature, code: ' exteriorfeature36', label: 'Patio '},"
,Exterior Features - Pivot Irrigated,ExteriorFeature,exterior_feature,exteriorfeature37,"{table: :exterior_feature, code: ' exteriorfeature37', label: 'Pivot Irrigated '},"
,Exterior Features - Pond,ExteriorFeature,exterior_feature,exteriorfeature38,"{table: :exterior_feature, code: ' exteriorfeature38', label: 'Pond '},"
,Exterior Features - Pool,ExteriorFeature,exterior_feature,exteriorfeature39,"{table: :exterior_feature, code: ' exteriorfeature39', label: 'Pool '},"
,Exterior Features - Porch,ExteriorFeature,exterior_feature,exteriorfeature40,"{table: :exterior_feature, code: ' exteriorfeature40', label: 'Porch '},"
,Exterior Features - Production Ground,ExteriorFeature,exterior_feature,exteriorfeature41,"{table: :exterior_feature, code: ' exteriorfeature41', label: 'Production Ground '},"
,Exterior Features - Recreational,ExteriorFeature,exterior_feature,exteriorfeature42,"{table: :exterior_feature, code: ' exteriorfeature42', label: 'Recreational '},"
,Exterior Features - River Frontage,ExteriorFeature,exterior_feature,exteriorfeature43,"{table: :exterior_feature, code: ' exteriorfeature43', label: 'River Frontage '},"
,Exterior Features - Rolling Terrain,ExteriorFeature,exterior_feature,exteriorfeature44,"{table: :exterior_feature, code: ' exteriorfeature44', label: 'Rolling Terrain '},"
,Exterior Features - RV Parking,ExteriorFeature,exterior_feature,exteriorfeature45,"{table: :exterior_feature, code: ' exteriorfeature45', label: 'RV Parking '},"
,Exterior Features - Shop,ExteriorFeature,exterior_feature,exteriorfeature46,"{table: :exterior_feature, code: ' exteriorfeature46', label: 'Shop '},"
,Exterior Features - Spring,ExteriorFeature,exterior_feature,exteriorfeature47,"{table: :exterior_feature, code: ' exteriorfeature47', label: 'Spring '},"
,"Exterior Features - Sprinklers, Auto",ExteriorFeature,exterior_feature,exteriorfeature48,"{table: :exterior_feature, code: ' exteriorfeature48', label: 'Sprinklers, Auto '},"
,"Exterior Features - Sprinklers, Manual",ExteriorFeature,exterior_feature,exteriorfeature49,"{table: :exterior_feature, code: ' exteriorfeature49', label: 'Sprinklers, Manual '},"
,Exterior Features - Storage Building,ExteriorFeature,exterior_feature,exteriorfeature50,"{table: :exterior_feature, code: ' exteriorfeature50', label: 'Storage Building '},"
,Exterior Features - Wooded Acreage,ExteriorFeature,exterior_feature,exteriorfeature51,"{table: :exterior_feature, code: ' exteriorfeature51', label: 'Wooded Acreage '},"
,Exterior Features - None,ExteriorFeature,exterior_feature,exteriorfeature52,"{table: :exterior_feature, code: ' exteriorfeature52', label: 'None '},"
,Exterior Features - Deck/Patio,ExteriorFeature,exterior_feature,exteriorfeature58,"{table: :exterior_feature, code: ' exteriorfeature58', label: 'Deck/Patio '},"
,,,,,
Road Maintenance ,Road Maintenance - Private,ExteriorFeature,exterior_feature,exteriorfeature54,"{table: :exterior_feature, code: ' exteriorfeature54', label: 'Private '},"
,Road Maintenance - Public,ExteriorFeature,exterior_feature,exteriorfeature55,"{table: :exterior_feature, code: ' exteriorfeature55', label: 'Public '},"
Road Surface,Road Surface - Paved (Asphalt/Concrete),ExteriorFeature,exterior_feature,exteriorfeature56,"{table: :exterior_feature, code: ' exteriorfeature56', label: 'Paved (Asphalt/Concrete) '},"
,Road Surface - Unpaved (Dirt/Gravel),ExteriorFeature,exterior_feature,exteriorfeature57,"{table: :exterior_feature, code: ' exteriorfeature57', label: 'Unpaved (Dirt/Gravel) '},"
,,,,,
Leases and Permits ,Leases and Permits - BLM,ExteriorFeature,exterior_feature,exteriorfeature59,"{table: :exterior_feature, code: ' exteriorfeature59', label: 'BLM '},"
,Leases and Permits - State,ExteriorFeature,exterior_feature,exteriorfeature60,"{table: :exterior_feature, code: ' exteriorfeature60', label: 'State '},"
,Leases and Permits - Forest Service,ExteriorFeature,exterior_feature,exteriorfeature61,"{table: :exterior_feature, code: ' exteriorfeature61', label: 'Forest Service '},"
,Leases and Permits - Private,ExteriorFeature,exterior_feature,exteriorfeature62,"{table: :exterior_feature, code: ' exteriorfeature62', label: 'Private '},"
