SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique
ROOM_GR_room_width,"",Game Room Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_GR_room_rem,"",Game Room Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_GR_room_level,"",Game Room Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_IM_room_length,"",Isolated Master Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_IM_room_width,"",Isolated Master Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_IM_room_rem,"",Isolated Master Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_IM_room_level,"",Isolated Master Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_KI_room_length,"",Kitchen Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_KI_room_width,"",Kitchen Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_KI_room_rem,"",Kitchen Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_KI_room_level,"",Kitchen Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_LB_room_length,"",Library Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_LB_room_width,"",Library Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_LB_room_rem,"",Library Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_LB_room_level,"",Library Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_Loft_room_length,"",LT Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_Loft_room_width,"",LT Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_Loft_room_rem,"",LT Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_Loft_room_level,"",LT Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_LT_room_length,"",Loft Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_LT_room_width,"",Loft Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_LT_room_rem,"",Loft Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_LT_room_level,"",Loft Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_LV_room_length,"",Living Room Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_LV_room_width,"",Living Room Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_LV_room_rem,"",Living Room Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_LV_room_level,"",Living Room Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MA_room_length,"",Master Bedroom Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MA_room_width,"",Master Bedroom Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MA_room_rem,"",Master Bedroom Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MA_room_level,"",Master Bedroom Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MAB_room_length,"",Main Bath Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MAB_room_width,"",Main Bath Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MAB_room_rem,"",Main Bath Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MAB_room_level,"",Main Bath Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MB_room_length,"",Master Bathroom Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MB_room_width,"",Master Bathroom Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MB_room_rem,"",Master Bathroom Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MB_room_level,"",Master Bathroom Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MD_room_length,"",Media Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MD_room_width,"",Media Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MD_room_rem,"",Media Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MD_room_level,"",Media Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MILQ_room_length,"",Mother-in-law Quarters Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MILQ_room_width,"",Mother-in-law Quarters Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MILQ_room_rem,"",Mother-in-law Quarters Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MILQ_room_level,"",Mother-in-law Quarters Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MR_room_length,"",Mud Room Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MR_room_width,"",Mud Room Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MR_room_rem,"",Mud Room Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_MR_room_level,"",Mud Room Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_O1_room_length,"",Other Room #1 Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_O1_room_width,"",Other Room #1 Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_O1_room_rem,"",Other Room #1 Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_O1_room_level,"",Other Room #1 Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_O2_room_length,"",Other Room #2 Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_O2_room_width,"",Other Room #2 Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_O2_room_rem,"",Other Room #2 Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_O2_room_level,"",Other Room #2 Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_O3_room_length,"",Other Room #3 Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_O3_room_width,"",Other Room #3 Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_O3_room_rem,"",Other Room #3 Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_O3_room_level,"",Other Room #3 Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_OS_room_length,"",Office/Study Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_OS_room_width,"",Office/Study Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_OS_room_rem,"",Office/Study Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_OS_room_level,"",Office/Study Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_PN_room_length,"",Pantry Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_PN_room_width,"",Pantry Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_PN_room_rem,"",Pantry Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_PN_room_level,"",Pantry Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_PR_room_length,"",Pet Room Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_PR_room_width,"",Pet Room Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_PR_room_rem,"",Pet Room Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_PR_room_level,"",Pet Room Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_SF_room_length,"",Safe Room Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_SF_room_width,"",Safe Room Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_SF_room_rem,"",Safe Room Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_SF_room_level,"",Safe Room Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_SR_room_length,"",Sunroom Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_SR_room_width,"",Sunroom Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_SR_room_rem,"",Sunroom Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_SR_room_level,"",Sunroom Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_UB_room_length,"",Basement - Unfinished Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_UB_room_width,"",Basement - Unfinished Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_UB_room_rem,"",Basement - Unfinished Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_UB_room_level,"",Basement - Unfinished Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_UT_room_length,"",Utility Room Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_UT_room_width,"",Utility Room Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_UT_room_rem,"",Utility Room Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
